Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Short Interest,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend Est.,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend TTM,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR (14),Dividend Ex-Date,Current Ratio,EPS Y/Y TTM,Oper. Margin,RSI (14),Volatility W,Volatility M,Employees,Debt/Eq,Sales Y/Y TTM,Profit Margin,Recom,Target Price,Option/Short,LT Debt/Eq,EPS Q/Q,Payout,Rel Volume,Prev Close,Sales Surprise,EPS Surprise,Sales Q/Q,Earnings,Avg Volume,Price,SMA20,SMA50,SMA200,Trades,Volume,Change,Ticker,Insider Activity
British American Tobacco Plc ADR,Consumer Defensive,Tobacco,United Kingdom,NYSE,-,26.66,1.69,0.09%,2.20B,1.15%,98.66B,9.25,4.86,0.00%,2.19B,4.92%,3.79B,5.73,-,9.88%,0.51%,16.17%,33.07B,2.98,0.46%,1.14%,1.85,20.30%,28.23,1.59,6.60%,2.52%,11.21M,46.86%,3.32,13.56,4.65%,5.87%,30.01,45.41,23.82%,3.18 (7.08%),9.41,-11.33%,3.68%,-0.97%,0.32,3.00 (6.66%),0.52,0.13%,63.18%,49.85%,0.75,"Jun 27, 2025",0.76,120.87%,14.41%,63.68,0.81%,1.69%,48989,0.74,-2.51%,11.46%,3.00,33.50,Yes / Yes,0.66,91.78%,172.31%,0.77,45.09,-2.02%,-0.28%,0.67%,Feb 13 BMO,6.07M,44.97,3.62%,6.53%,16.44%,"

","4,700,530",-0.27%,BTI,0.0
Workday Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",133.50,1.81,19.97%,215.60M,-9.97%,64.55B,23.73,10.19,-1.80%,213.69M,-0.67%,487.00M,7.77,2.11,73.74%,3.09%,-7.22%,8.67B,7.45,20.31%,-1.21%,2.90,-9.71%,33.46,7.23,16.01%,2.94%,6.59M,9.44%,29.91,8.08,17.19%,5.70%,199.81,294.00,-6.31%,-,27.80,-,3.99%,-17.77%,1.23,-,2.01,18.38%,75.56%,20.99%,7.63,-,2.01,-67.58%,7.05%,41.55,6.95%,3.31%,20400,0.38,15.38%,5.62%,1.64,298.53,Yes / Yes,0.37,-36.45%,0.00%,1.32,239.90,1.00%,11.08%,12.61%,May 22 AMC,2.27M,241.76,-6.32%,-0.81%,-3.77%,"

","2,991,353",0.78%,WDAY,-0.018000000000000002
Houlihan Lokey Inc,Financial,Capital Markets,USA,NYSE,-,30.10,5.81,23.06%,53.82M,1.26%,12.22B,21.75,8.05,-0.06%,53.71M,7.88%,399.71M,2.30,1.62,76.75%,1.73%,2.69%,2.39B,5.11,12.46%,-1.24%,2.20,-7.27%,31.14,5.62,13.74%,11.44%,0.93M,28.95%,13.97,12.52,13.06%,19.93%,127.14,192.10,0.78%,2.40 (1.37%),15.10,15.80%,15.59%,-8.90%,0.84,2.28 (1.30%),1.35,18.16%,-,37.65%,4.08,"Jun 02, 2025",1.35,39.55%,21.84%,57.68,1.35%,1.85%,2702,0.20,24.88%,16.71%,2.50,175.67,Yes / Yes,0.18,48.88%,39.16%,0.68,174.13,6.07%,20.81%,28.05%,May 07 AMC,423.01K,175.01,0.95%,6.86%,3.88%,"

","288,214",0.51%,HLI,-0.0006
Southern Copper Corporation,Basic Materials,Copper,USA,NYSE,-,20.63,4.48,88.99%,804.07M,1.61%,74.29B,20.82,4.44,-0.00%,88.52M,0.47%,3.59B,5.75,1.04,9.03%,9.93%,3.11%,11.96B,6.21,5.68%,2.94%,5.87,-5.77%,11.90,7.76,-2.06%,19.61%,8.79M,-19.07%,5.39,17.14,3.59%,41.93%,74.11,118.64,3.13%,3.10 (3.35%),22.16,18.14%,21.16%,-22.13%,1.01,2.63 (2.85%),3.22,10.49%,50.45%,24.67%,2.57,"May 02, 2025",3.71,53.35%,49.35%,54.19,1.52%,1.60%,16133,0.83,23.23%,30.00%,3.05,92.65,Yes / Yes,0.77,29.11%,47.87%,0.70,91.74,5.36%,4.25%,20.08%,Apr 25 BMO,1.50M,92.39,1.57%,2.30%,-4.70%,"

","1,053,388",0.71%,SCCO,-0.0
"Home Depot, Inc",Consumer Cyclical,Home Improvement Retail,USA,NYSE,"DJIA, S&P 500",24.99,14.74,0.07%,995.00M,-0.69%,366.42B,22.58,16.31,-0.73%,993.21M,2.59%,14.64B,4.91,4.73,72.52%,0.93%,-5.63%,162.95B,2.25,-1.51%,-0.63%,2.46,-12.31%,7.99,46.07,8.64%,16.41%,9.20M,13.29%,1.38,267.66,5.09%,299.52%,323.77,439.37,-5.32%,9.17 (2.49%),24.12,7.79%,23.23%,-16.18%,1.02,9.05 (2.46%),0.28,7.98%,31.41%,13.75%,7.71,"Jun 05, 2025",1.09,-1.19%,13.24%,51.05,1.37%,1.33%,470100,7.70,7.33%,8.98%,1.79,422.35,Yes / Yes,6.92,-4.83%,60.36%,0.67,368.06,1.42%,-0.99%,9.44%,May 20 BMO,3.74M,368.29,-0.19%,1.94%,-4.91%,"

","3,035,069",0.06%,HD,-0.0073
Novo Nordisk ADR,Healthcare,Drug Manufacturers - General,Denmark,NYSE,-,20.60,3.37,0.00%,3.37B,1.85%,233.81B,14.71,4.72,-,3.37B,6.60%,15.05B,1.08,0.90,9.71%,0.82%,-22.15%,43.59B,5.36,25.73%,-5.38%,2.87,-33.89%,4.52,15.38,18.77%,26.37%,27.58M,-48.94%,1.79,38.87,19.12%,87.53%,57.00,148.15,-19.25%,1.98 (2.84%),16.37,21.74%,44.25%,-53.12%,0.65,1.66 (2.39%),0.56,18.58%,84.33%,21.86%,2.56,"Mar 31, 2025",0.74,16.36%,45.11%,55.43,3.12%,2.87%,76302,0.86,22.74%,34.52%,2.06,99.36,Yes / Yes,0.70,10.76%,35.93%,0.93,68.60,1.73%,8.78%,15.81%,May 07 BMO,9.62M,69.46,3.37%,3.97%,-27.61%,"

","8,997,906",1.25%,NVO,
Brookfield Asset Management Ltd,Financial,Asset Management,USA,NYSE,-,39.88,1.40,5.18%,1.61B,-2.69%,89.92B,29.20,1.91,0.00%,1.53B,3.60%,1.02B,2.69,0.40,17.55%,1.35%,-0.80%,1.42B,63.37,13.43%,49.37%,9.28,0.52%,5.26,10.59,16.09%,11.23%,20.71M,38.64%,0.21,270.83,14.85%,19.09%,37.29,62.61,2.90%,1.73 (3.10%),112.36,-,11.69%,-10.94%,1.48,1.63 (2.93%),1.21,172.44%,74.42%,49.53%,1.44,"May 30, 2025",1.21,28.94%,41.01%,50.83,1.74%,1.57%,2500,0.18,264.78%,71.88%,2.41,57.20,Yes / Yes,0.03,39.15%,117.63%,0.82,56.21,-17.90%,-1.19%,650.69%,May 06 BMO,2.23M,55.76,-2.06%,6.67%,7.27%,"

","1,839,139",-0.80%,BAM,0.0
"Landstar System, Inc",Industrials,Integrated Freight & Logistics,USA,NASD,-,27.35,5.04,1.06%,34.95M,-0.74%,4.82B,21.75,6.34,0.00%,34.58M,2.14%,178.66M,2.14,1.17,102.80%,3.65%,-11.64%,4.80B,1.00,-11.46%,0.84%,3.19,-22.83%,26.63,5.18,29.99%,10.32%,1.26M,-22.50%,13.55,10.18,12.75%,18.34%,128.99,194.54,-18.80%,1.50 (1.09%),21.47,-0.74%,17.99%,-29.11%,0.89,1.07 (0.78%),2.03,7.06%,12.90%,6.91%,4.17,"Jun 05, 2025",2.03,-22.46%,4.44%,47.22,1.29%,2.14%,1441,0.17,-4.72%,3.72%,3.06,139.64,Yes / Yes,0.07,-35.73%,25.03%,0.86,136.91,1.33%,2.65%,-1.58%,May 13 BMO,396.25K,137.91,-0.47%,-1.71%,-17.09%,"

","340,367",0.73%,LSTR,0.0
BRP Inc,Consumer Cyclical,Recreational Vehicles,Canada,NASD,-,-,-0.54,56.61%,34.51M,13.39%,2.96B,11.44,3.54,0.00%,31.69M,19.37%,-38.59M,-,0.34,46.23%,5.03%,3.63%,5.55B,0.53,-23.08%,-10.71%,6.99,-16.41%,4.60,8.81,40.37%,2.28%,1.59M,-39.34%,3.11,13.02,8.94%,26.57%,31.78,74.00,-20.29%,0.59 (1.46%),16.13,-,-1.58%,-45.20%,1.20,0.61 (1.50%),0.58,6.70%,21.07%,27.60%,1.67,"Jun 30, 2025",1.34,-109.42%,6.38%,67.51,6.31%,3.38%,21900,6.49,-24.82%,-0.69%,2.11,47.05,Yes / Yes,6.26,2022.19%,-,3.18,35.92,8.05%,43.04%,-13.17%,May 29 BMO,227.83K,40.55,12.21%,13.98%,-16.31%,"

","700,754",12.89%,DOOO,0.0
Alibaba Group Holding Ltd ADR,Consumer Cyclical,Internet Retail,China,NYSE,-,15.73,7.45,0.11%,2.39B,-5.19%,280.57B,10.80,10.85,0.00%,2.39B,-1.43%,17.98B,1.48,2.35,15.35%,1.68%,-14.19%,138.04B,2.03,5.96%,2.41%,1.83,40.96%,59.26,1.98,12.75%,7.30%,40.27M,45.43%,27.18,4.31,10.60%,13.04%,71.80,148.43,38.20%,1.07 (0.91%),19.66,-1.31%,10.71%,-21.05%,0.22,1.00 (0.85%),1.48,14.86%,39.32%,63.20%,3.89,"Jun 12, 2025",1.55,74.55%,14.69%,41.75,1.13%,2.80%,124320,0.23,5.17%,13.03%,1.34,162.54,Yes / Yes,0.21,290.28%,13.49%,0.56,116.74,-1.18%,-0.13%,5.28%,May 15 BMO,22.03M,117.18,-5.80%,-4.21%,12.28%,"

","12,392,828",0.38%,BABA,0.0
Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,NYSE,S&P 500,30.01,5.57,0.10%,446.04M,3.53%,74.41B,24.37,6.86,-0.50%,444.77M,7.53%,2.52B,3.52,1.62,95.93%,2.30%,1.31%,9.29B,8.01,5.15%,-1.04%,3.55,-5.55%,10.44,16.02,10.18%,17.70%,10.21M,-1.72%,3.87,43.24,8.53%,51.85%,139.70,200.33,2.58%,1.99 (1.19%),32.62,11.91%,25.04%,-16.57%,0.94,1.86 (1.12%),1.04,8.22%,69.48%,19.64%,3.99,"Jul 18, 2025",1.74,7.23%,37.01%,61.26,1.16%,2.27%,13800,1.45,6.32%,27.12%,1.48,200.29,Yes / Yes,1.16,7.88%,32.86%,0.85,165.40,1.37%,5.00%,1.37%,May 06 BMO,2.87M,167.14,4.10%,6.11%,-2.87%,"

","2,450,453",1.05%,ZTS,-0.005
Starbucks Corp,Consumer Cyclical,Restaurants,USA,NASD,"NDX, S&P 500",30.55,2.75,0.22%,1.14B,1.29%,95.51B,28.07,2.99,-0.76%,1.13B,-0.94%,3.13B,13.23,0.66,82.09%,3.86%,-26.59%,36.32B,2.63,-25.92%,3.08%,3.70,-18.00%,-6.71,-,22.13%,10.26%,43.81M,6.57%,2.65,31.72,2.31%,-,71.55,117.46,-7.89%,2.44 (2.91%),34.54,2.53%,21.34%,-28.44%,0.99,2.40 (2.86%),0.45,7.06%,18.80%,17.47%,2.79,"May 16, 2025",0.64,-24.28%,11.87%,46.99,2.32%,2.45%,361000,-,-0.50%,8.62%,2.31,89.96,Yes / Yes,-,-50.46%,68.95%,0.87,86.00,-0.77%,-15.60%,2.32%,Apr 29 AMC,11.85M,84.05,-0.35%,-3.31%,-12.31%,"

","10,312,548",-2.27%,SBUX,-0.0076
Idex Corporation,Industrials,Specialty Industrial Machinery,USA,NYSE,S&P 500,28.85,6.31,0.24%,75.70M,0.54%,13.76B,20.40,8.93,0.00%,75.36M,5.77%,479.10M,4.51,1.99,101.76%,2.02%,-5.99%,3.28B,4.19,3.93%,0.24%,2.19,-21.66%,51.61,3.53,8.87%,7.55%,1.52M,-15.34%,8.08,22.53,6.40%,12.73%,153.36,238.22,-12.97%,2.78 (1.53%),24.67,3.63%,8.34%,-23.54%,1.06,2.78 (1.53%),1.99,5.93%,43.40%,18.77%,4.42,"May 19, 2025",2.79,-17.18%,21.13%,50.67,1.64%,1.82%,9000,0.50,1.66%,14.60%,2.28,202.85,Yes / Yes,0.47,-21.23%,41.48%,0.79,180.70,0.99%,6.66%,1.72%,May 01 BMO,692.69K,182.14,-1.09%,2.45%,-9.56%,"

","551,602",0.80%,IEX,0.0
Graco Inc,Industrials,Specialty Industrial Machinery,USA,NYSE,-,29.88,2.83,0.99%,167.13M,0.06%,14.15B,26.62,3.18,-1.60%,165.47M,3.90%,487.99M,3.99,0.79,89.79%,1.90%,-1.62%,2.15B,6.58,6.68%,-1.32%,3.47,-7.04%,14.82,5.71,7.65%,16.84%,3.15M,3.92%,3.21,26.39,7.49%,20.28%,72.06,92.86,0.45%,1.08 (1.28%),25.90,7.07%,19.58%,-8.82%,1.07,1.06 (1.25%),2.53,5.45%,52.76%,17.50%,1.70,"Apr 14, 2025",3.61,-2.50%,27.04%,53.54,1.41%,1.47%,4300,0.02,-0.40%,22.70%,2.46,91.86,Yes / Yes,0.01,2.07%,36.89%,0.60,83.88,0.69%,4.56%,7.33%,Apr 23 AMC,907.28K,84.67,0.31%,3.05%,0.35%,"

","551,136",0.94%,GGG,-0.016
Walt Disney Co,Communication Services,Entertainment,USA,NYSE,"DJIA, S&P 500",22.88,4.90,0.10%,1.80B,1.41%,201.38B,17.71,6.33,-0.71%,1.80B,22.87%,8.91B,1.80,1.46,72.85%,1.20%,0.64%,93.60B,2.15,16.05%,0.49%,1.88,-3.14%,57.93,1.93,9.67%,4.56%,21.57M,10.08%,3.26,34.41,12.73%,8.75%,80.10,118.63,0.60%,0.85 (0.76%),18.48,-16.36%,6.33%,-5.57%,1.54,0.95 (0.85%),0.58,5.94%,31.38%,39.85%,2.62,"Jun 24, 2025",0.64,431.28%,14.18%,67.66,1.62%,2.61%,233000,0.41,5.33%,9.52%,1.71,124.62,Yes / Yes,0.35,16663.30%,27.62%,0.84,111.52,2.29%,22.05%,6.88%,May 07 BMO,11.47M,112.02,5.01%,14.93%,10.26%,"

","9,683,748",0.45%,DIS,-0.0070999999999999995
Ferrovial S.E,Industrials,Infrastructure Operations,Netherlands,NASD,-,10.64,4.84,35.94%,728.53M,-2.02%,37.19B,-,-,0.00%,462.41M,6.42%,3.51B,-,-,28.04%,0.18%,15.46%,9.89B,3.76,-,-26.74%,6.23,32.92%,8.72,5.91,-,11.81%,0.83M,28.13%,6.93,7.44,-,66.80%,37.92,56.43,22.58%,-,44.33,63.82%,20.73%,-8.70%,-,0.89 (1.73%),1.13,8.04%,9.84%,35.86%,1.18,"May 23, 2025",1.22,608.62%,9.84%,61.81,0.31%,1.60%,25501,1.90,7.49%,35.43%,-,-,Yes / Yes,1.69,953.24%,14.78%,1.04,51.55,-,-,6.64%,May 13 AMC,132.71K,51.52,1.96%,8.73%,18.93%,"

","137,976",-0.06%,FER,0.0
MercadoLibre Inc,Consumer Cyclical,Internet Retail,USA,NASD,NDX,62.62,40.65,7.30%,50.70M,-2.17%,129.05B,36.53,69.68,-0.00%,47.00M,11.60%,2.06B,1.77,12.30,81.70%,1.54%,19.52%,22.38B,5.77,32.80%,0.73%,1.64,26.96%,98.70,25.79,39.21%,8.82%,0.72M,50.30%,188.96,13.47,35.36%,49.11%,1550.00,2635.88,49.70%,-,26.05,-,23.05%,-3.43%,1.51,-,1.18,56.18%,46.13%,64.23%,72.76,"Dec 28, 2017",1.20,81.11%,12.81%,64.29,2.38%,1.99%,84207,1.98,41.92%,9.21%,1.42,2860.14,Yes / Yes,0.79,43.60%,0.00%,0.45,2550.71,8.17%,17.71%,36.97%,May 07 AMC,441.03K,2545.49,2.95%,14.41%,24.93%,"

","200,088",-0.20%,MELI,-0.0
ServiceNow Inc,Technology,Software - Application,USA,NYSE,S&P 500,137.82,7.37,0.42%,206.98M,0.05%,210.14B,51.14,19.85,-4.55%,206.11M,7.68%,1.54B,7.04,3.57,89.90%,2.07%,10.24%,11.47B,18.32,19.06%,-1.58%,2.21,-4.28%,48.99,20.73,19.79%,7.99%,4.26M,37.47%,31.91,31.81,19.58%,16.86%,637.99,1198.09,-4.23%,-,57.09,16.56%,12.37%,-15.26%,0.96,-,1.06,26.04%,78.92%,59.13%,25.63,-,1.06,-20.93%,12.93%,60.91,1.54%,1.40%,26293,0.24,21.01%,13.41%,1.41,1086.34,Yes / Yes,0.23,31.50%,0.00%,0.65,1021.30,0.15%,5.47%,18.63%,Apr 23 AMC,1.93M,1015.23,0.93%,13.27%,6.85%,"

","1,266,245",-0.59%,NOW,-0.0455
Cheniere Energy Partners LP,Energy,Oil & Gas Midstream,USA,NYSE,-,13.73,4.18,49.63%,484.00M,0.53%,27.79B,13.32,4.31,0.00%,243.83M,-4.62%,2.02B,-,1.00,46.54%,0.37%,-13.21%,9.40B,2.96,2.53%,1.22%,5.52,5.15%,4.24,13.54,-1.12%,11.70%,0.90M,17.13%,0.35,163.47,-0.41%,124.29%,46.63,68.42,8.15%,3.35 (5.83%),9.97,13.75%,12.07%,-16.09%,0.40,3.10 (5.40%),0.76,15.41%,33.26%,23.12%,1.93,"May 09, 2025",0.88,9.35%,32.04%,43.74,1.64%,2.03%,1714,7.22,3.94%,21.54%,4.06,56.21,Yes / Yes,7.17,191.12%,81.02%,1.02,58.73,16.54%,-2.65%,30.24%,May 08 BMO,162.88K,57.41,-2.15%,-4.45%,2.51%,"

","165,817",-2.25%,CQP,0.0
Veralto Corp,Industrials,Pollution & Treatment Controls,USA,NYSE,S&P 500,28.95,3.50,4.12%,247.80M,0.75%,25.09B,25.34,4.00,-0.67%,237.64M,8.75%,874.00M,3.97,0.88,95.30%,1.47%,2.10%,5.28B,4.75,3.89%,-0.71%,2.41,-4.86%,9.29,10.90,8.63%,14.15%,3.50M,-0.93%,5.00,20.25,7.29%,46.19%,83.86,115.00,-0.60%,0.37 (0.36%),29.18,3.20%,17.72%,-11.97%,1.22,0.40 (0.40%),1.92,4.56%,59.37%,20.72%,1.93,"Jun 30, 2025",2.19,9.03%,23.43%,61.55,0.82%,1.15%,17000,1.14,4.70%,16.56%,2.00,110.43,Yes / Yes,1.14,21.63%,11.39%,0.71,100.76,4.10%,9.60%,6.90%,Apr 29 AMC,1.45M,101.24,2.08%,5.98%,-1.49%,"

","1,037,641",0.48%,VLTO,-0.0067
Fortinet Inc,Technology,Software - Infrastructure,USA,NASD,"NDX, S&P 500",42.00,2.43,16.97%,769.20M,-0.78%,78.10B,36.84,2.77,-0.67%,635.50M,-2.08%,1.88B,4.22,0.59,69.35%,2.50%,-4.72%,6.14B,12.72,4.28%,-0.13%,3.09,9.99%,2.55,39.99,12.07%,20.80%,15.88M,66.32%,6.25,16.34,9.96%,205.91%,54.57,114.82,8.00%,-,37.78,42.92%,76.42%,-11.13%,1.07,-,1.29,22.66%,81.34%,86.99%,3.24,-,1.36,58.13%,31.36%,49.01,1.60%,2.70%,14138,0.51,13.83%,30.60%,2.43,108.56,Yes / Yes,0.25,43.64%,0.00%,0.92,104.51,0.08%,9.17%,13.77%,May 07 AMC,5.13M,102.04,-1.70%,2.22%,10.21%,"

","4,731,952",-2.36%,FTNT,-0.0067
Hershey Company,Consumer Defensive,Confectioners,USA,NYSE,S&P 500,19.90,8.11,27.30%,147.98M,6.63%,32.68B,25.16,6.41,-0.02%,147.28M,-2.27%,1.65B,-,0.97,61.20%,6.94%,-6.39%,10.75B,3.04,-35.81%,-0.11%,5.89,-7.72%,23.12,6.98,6.62%,12.50%,10.22M,-18.11%,7.48,21.57,-7.59%,37.48%,140.13,208.03,-4.74%,5.52 (3.42%),17.95,14.88%,16.19%,-22.45%,0.28,5.48 (3.40%),1.11,7.15%,40.67%,15.12%,4.55,"May 16, 2025",1.59,-19.78%,19.74%,49.71,2.05%,1.90%,18540,1.34,-5.91%,15.32%,3.07,160.62,Yes / Yes,1.17,-71.64%,50.20%,1.39,155.90,0.51%,7.90%,-13.75%,May 01 BMO,1.73M,161.32,-0.41%,-1.90%,-7.53%,"

","2,388,116",3.48%,HSY,-0.0002
Accenture plc,Technology,Information Technology Services,Ireland,NYSE,S&P 500,26.22,12.12,0.27%,626.44M,0.00%,198.91B,23.30,13.64,-2.33%,624.33M,6.45%,7.68B,3.54,3.31,78.58%,1.41%,-10.97%,67.22B,2.96,6.36%,0.42%,2.44,-11.41%,46.69,6.81,7.28%,13.82%,8.82M,5.56%,13.57,23.41,7.41%,27.26%,275.01,398.35,-9.68%,5.72 (1.80%),20.41,9.21%,21.05%,-20.24%,1.33,5.73 (1.80%),1.48,8.75%,32.21%,15.53%,6.53,"Apr 10, 2025",1.48,12.27%,15.44%,56.83,1.69%,1.43%,774000,0.28,4.10%,11.43%,1.67,357.25,Yes / Yes,0.25,7.19%,45.12%,0.70,315.99,0.25%,0.33%,5.44%,Jun 20 BMO,3.61M,317.73,1.21%,4.61%,-7.19%,"

","2,557,880",0.55%,ACN,-0.0233
Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,NASD,"NDX, S&P 500",58.89,17.13,0.19%,443.73M,-1.62%,447.56B,50.50,19.97,-1.22%,442.82M,1.72%,7.62B,5.91,5.83,69.65%,1.39%,-1.27%,264.09B,1.69,9.38%,-1.13%,2.54,4.64%,57.64,17.50,10.28%,10.92%,6.17M,24.58%,29.66,34.01,9.97%,32.89%,788.20,1078.23,10.09%,4.72 (0.47%),64.63,14.93%,22.67%,-6.45%,0.99,4.78 (0.47%),0.49,10.86%,12.67%,27.98%,19.09,"May 02, 2025",1.00,16.91%,3.69%,52.13,0.80%,0.92%,333000,0.32,6.13%,2.89%,2.05,1071.03,Yes / Yes,0.31,2.55%,26.32%,0.82,1013.14,0.12%,1.01%,9.04%,May 29 AMC,2.43M,1008.74,-0.43%,3.29%,6.43%,"

","2,023,815",-0.43%,COST,-0.012199999999999999
Blackrock Inc,Financial,Asset Management,USA,NYSE,S&P 500,23.72,41.17,7.25%,155.02M,0.36%,151.26B,19.48,50.12,-1.80%,143.70M,6.06%,6.31B,2.48,10.53,77.00%,1.36%,3.33%,21.39B,7.07,3.51%,-3.97%,2.29,-5.80%,309.86,3.15,11.03%,4.74%,1.96M,24.87%,50.00,19.53,9.56%,14.37%,752.29,1084.22,-4.76%,22.14 (2.27%),36.85,8.12%,10.25%,-9.95%,1.42,20.51 (2.10%),3.97,7.64%,79.45%,29.78%,20.31,"Jun 05, 2025",3.97,4.76%,37.83%,58.47,1.31%,1.30%,21100,0.30,11.73%,29.48%,1.30,1025.19,Yes / Yes,0.28,-7.99%,48.56%,0.48,971.28,-0.27%,12.06%,10.67%,Apr 11 BMO,855.78K,976.32,2.04%,5.26%,1.30%,"

","455,568",0.52%,BLK,-0.018000000000000002
Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,NYSE,-,15.41,0.16,0.00%,15.65B,-0.80%,38.96B,13.66,0.18,-,15.65B,-1.97%,2.55B,1.93,0.03,7.54%,0.34%,18.01%,16.31B,2.39,9.58%,-2.88%,1.69,15.93%,1.05,2.36,5.68%,9.63%,52.68M,10.87%,0.23,10.99,7.99%,15.09%,1.76,2.63,34.59%,0.16 (6.55%),9.54,-2.22%,15.12%,-5.50%,0.81,0.11 (4.54%),0.80,5.32%,47.90%,41.48%,0.06,"May 19, 2025",1.11,-13.02%,22.06%,52.51,0.77%,0.83%,43000,0.03,1.25%,15.64%,2.60,2.97,Yes / Yes,0.02,-15.04%,60.20%,0.74,2.48,3.39%,4.44%,-6.05%,May 08 BMO,31.16M,2.49,-0.84%,3.03%,13.31%,"

","23,181,764",0.40%,ABEV,
Bellring Brands Inc,Consumer Defensive,Packaged Foods,USA,NYSE,-,28.79,2.14,1.32%,126.30M,-0.69%,7.84B,24.47,2.52,-18.31%,125.32M,-19.58%,281.00M,1.94,0.50,99.75%,3.35%,-12.41%,2.19B,3.58,13.85%,1.41%,2.30,-21.49%,-2.01,-,14.79%,32.82%,4.20M,5.74%,0.35,177.31,14.84%,-,48.06,80.67,-18.09%,-,49.89,-9.81%,40.17%,-23.50%,0.73,-,1.34,18.63%,35.48%,28.40%,2.69,-,2.92,49.43%,20.32%,39.01,1.76%,5.33%,485,-,18.91%,12.82%,1.56,78.87,Yes / Yes,-,5.07%,0.00%,1.56,60.37,1.60%,-0.43%,18.88%,May 05 AMC,1.83M,61.71,-5.44%,-12.36%,-10.75%,"

","2,827,656",2.22%,BRBR,-0.18309999999999998
McDonald's Corp,Consumer Cyclical,Restaurants,USA,NYSE,"DJIA, S&P 500",27.51,11.34,0.04%,715.00M,-1.45%,222.99B,23.43,13.31,-16.44%,714.77M,-0.84%,8.16B,3.74,3.14,75.30%,1.35%,0.62%,25.71B,8.67,5.09%,1.59%,2.63,7.43%,-4.83,-,8.07%,14.86%,9.63M,20.82%,1.73,180.12,7.35%,-,243.53,326.32,7.58%,7.13 (2.29%),33.26,7.66%,16.81%,-4.43%,0.55,6.88 (2.21%),1.17,4.46%,56.27%,28.06%,4.96,"Jun 02, 2025",1.18,-3.83%,45.90%,46.77,0.37%,0.99%,150000,-,-0.22%,31.75%,2.03,334.44,Yes / Yes,-,-2.12%,59.52%,0.61,312.84,-2.38%,0.30%,-3.45%,May 01 BMO,3.66M,311.86,-0.85%,-0.12%,3.94%,"

","2,248,937",-0.31%,MCD,-0.16440000000000002
AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,NASD,"DJIA, NDX, S&P 500",25.88,10.95,0.22%,537.70M,4.50%,152.46B,13.17,21.52,-6.41%,536.52M,-1.74%,5.93B,5.96,5.23,81.06%,2.68%,-7.29%,33.93B,4.49,5.11%,1.89%,4.64,-3.73%,11.54,24.56,3.20%,6.51%,14.36M,-7.29%,16.38,17.31,4.34%,105.67%,253.30,346.85,8.79%,9.63 (3.40%),13.97,-10.10%,9.85%,-18.25%,0.49,9.26 (3.27%),0.88,7.57%,67.43%,11.94%,7.00,"May 16, 2025",1.17,56.99%,26.26%,54.83,1.54%,2.06%,28000,9.24,15.59%,17.49%,2.36,311.38,Yes / Yes,8.70,1616.98%,119.05%,0.90,278.40,1.14%,14.76%,9.42%,May 01 AMC,3.10M,283.54,3.33%,-1.09%,-5.03%,"

","2,802,379",1.85%,AMGN,-0.0641
Lilly(Eli) & Co,Healthcare,Drug Manufacturers - General,USA,NYSE,S&P 500,59.86,12.07,10.35%,948.10M,-0.33%,684.81B,24.36,29.66,-0.89%,849.67M,-18.37%,11.11B,1.44,5.54,78.89%,0.86%,-20.17%,49.00B,13.97,67.75%,-0.14%,1.76,-3.40%,16.63,43.46,36.13%,14.49%,7.35M,-10.51%,3.40,212.63,41.43%,77.73%,677.09,972.53,-6.40%,6.57 (0.91%),183.27,18.77%,22.10%,-25.70%,0.39,5.60 (0.78%),1.06,15.54%,81.70%,6.72%,25.86,"May 16, 2025",1.37,80.73%,40.25%,41.16,1.03%,3.64%,47000,2.44,36.38%,22.66%,1.52,990.82,Yes / Yes,2.19,23.46%,44.39%,0.66,719.39,0.48%,2.51%,45.17%,May 01 BMO,4.17M,722.57,-3.71%,-8.10%,-13.51%,"

","2,786,929",0.44%,LLY,-0.0089
